Gateway,Address,Type,RSSI (dBm),Distance (m),Sequence No.,Battery (mV),Temperature (degC),Humidity (%%RH),Light (lx),UV Index,Pressure (hPa),Noise (dB),Discomfort Index,Heat Stroke Risk,Accel.X (mg),Accel.Y (mg),Accel.X (mg),eTVOC (ppb),eCO2 (ppm),SI (kine),PGA (gal),Seismic Intensity,Vibration Info
Gateway,Address,Type,RSSI (dBm),Distance (m),Sequence No.,Battery (mV),Temperature (degC),Humidity (%%RH),Light (lx),UV Index,Pressure (hPa),Noise (dB),Discomfort Index,Heat Stroke Risk,Accel.X (mg),Accel.Y (mg),Accel.X (mg),eTVOC (ppb),eCO2 (ppm),SI (kine),PGA (gal),Seismic Intensity,Vibration Info
raspberrypi,DCD130968233,Rbt 0x03,-33,0.00957845417604,55,0.0,27.87,54.79,82,0.0,1005.161,68.6,76.15700327,24.4644693782,0.0,0.0,0.0,291,1651,0.0,0.0,0.0,0
raspberrypi,C8CD922A6F9B,Rbt 0x01,-32,0.00748830859402,55,0.0,25.34,72.35,12,0.0,1004.89,66.89,0.0,0.0,0.0,0.0,0.0,21,540,0.0,0.0,0.0,0
raspberrypi,C8CD922A6F9B,Rbt 0x01,-31,0.00580868007585,56,0.0,25.34,72.39,12,0.0,1004.897,62.0,0.0,0.0,0.0,0.0,0.0,21,540,0.0,0.0,0.0,0
raspberrypi,DCD130968233,Rbt 0x03,-49,0.226335432297,56,0.0,27.89,54.77,82,0.0,1005.162,62.88,76.18138947,24.4801729083,0.0,0.0,0.0,291,1651,0.0,0.0,0.0,0
raspberrypi,DCD130968233,Rbt 0x03,-50,0.266038163731,57,0.0,27.9,54.81,82,0.0,1005.165,59.22,76.2002401,24.4949584028,0.0,0.0,0.0,287,1647,0.0,0.0,0.0,0
raspberrypi,C8CD922A6F9B,Rbt 0x01,-32,0.00748830859402,57,0.0,25.33,72.44,12,0.0,1004.899,63.59,0.0,0.0,0.0,0.0,0.0,21,540,0.0,0.0,0.0,0
raspberrypi,D724662A6C3F,EP,-36,0.0192133862262,250,2910.0,25.2,69.29,160,0.02,992.7,50.98,74.08,23.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
raspberrypi,DCD130968233,Rbt 0x03,-50,0.266038163731,58,0.0,27.89,54.83,82,0.0,1005.161,65.79,76.18937613,24.4884888241,0.0,0.0,0.0,291,1651,0.0,0.0,0.0,0
raspberrypi,C8CD922A6F9B,Rbt 0x01,-31,0.00580868007585,58,0.0,25.32,72.49,12,0.0,1004.893,65.88,0.0,0.0,0.0,0.0,0.0,20,534,0.0,0.0,0.0,0
raspberrypi,DCD130968233,Rbt 0x03,-32,0.00748830859402,61,0.0,27.87,54.83,82,0.0,1005.132,64.51,76.16231979,24.4700106915,0.0,0.0,0.0,287,1647,0.0,0.0,0.0,0
raspberrypi,DCD130968233,Rbt 0x03,-33,0.00957845417604,63,0.0,27.89,54.76,87,0.0,1005.131,62.39,76.18005836,24.4787869224,0.0,0.0,0.0,287,1647,0.0,0.0,0.0,0
raspberrypi,DCD130968233,Rbt 0x03,-33,0.00957845417604,65,0.0,27.96,54.59,87,0.0,1005.136,61.72,76.25196036,24.5199091553,0.0,0.0,0.0,291,1651,0.0,0.0,0.0,0
raspberrypi,DCD130968233,Rbt 0x03,-50,0.266038163731,67,0.0,28.02,54.43,82,0.0,1005.168,85.63,76.31148314,24.5531894172,0.0,0.0,0.0,291,1651,0.0,0.0,0.0,0
raspberrypi,C8CD922A6F9B,Rbt 0x01,-35,0.0153365707231,67,0.0,25.35,72.57,12,0.0,1004.903,67.6,0.0,0.0,0.0,0.0,0.0,21,540,0.0,0.0,0.0,0
raspberrypi,DCD130968233,Rbt 0x03,-34,0.0121622868802,129,0.0,28.26,53.75,93,0.0,1005.132,72.68,76.5422025,24.6808234703,0.0,0.0,0.0,271,1628,0.0,0.0,0.0,0
raspberrypi,DCD130968233,Rbt 0x03,-50,0.266038163731,191,0.0,28.3,53.91,82,0.0,1005.123,65.86,76.6178347,24.7403659701,0.0,0.0,0.0,274,1632,0.0,0.0,0.0,0
raspberrypi,C8CD922A6F9B,Rbt 0x01,-31,0.00580868007585,191,0.0,25.68,72.21,12,0.0,1004.855,66.25,0.0,0.0,0.0,0.0,0.0,26,577,0.0,0.0,0.0,0
raspberrypi,C8CD922A6F9B,Rbt 0x01,-29,0.00340696671019,253,0.0,25.67,72.45,17,0.0,1004.854,65.41,0.0,0.0,0.0,0.0,0.0,25,569,0.0,0.0,0.0,0
raspberrypi,DCD130968233,Rbt 0x03,-51,0.311706110239,253,0.0,28.48,53.44,98,0.0,1005.115,65.21,76.79439488,24.8419505105,0.0,0.0,0.0,282,1641,0.0,0.0,0.0,0
raspberrypi,DCD130968233,Rbt 0x03,-33,0.00957845417604,59,0.0,28.51,53.7,98,0.0,1005.114,58.48,76.8707713,24.9064978378,0.0,0.0,0.0,278,1636,0.0,0.0,0.0,0
raspberrypi,D724662A6C3F,EP,-37,0.023922011752,251,2910.0,25.16,69.29,179,0.03,992.5,51.71,74.03,23.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
raspberrypi,DCD130968233,Rbt 0x03,-49,0.226335432297,121,0.0,28.46,54.04,98,0.0,1005.11,60.83,76.85086616,24.9076424239,0.0,0.0,0.0,267,1624,0.0,0.0,0.0,0
raspberrypi,C8CD922A6F9B,Rbt 0x01,-32,0.00748830859402,121,0.0,25.57,74.04,17,0.0,1004.837,60.64,0.0,0.0,0.0,0.0,0.0,27,580,0.0,0.0,0.0,0
raspberrypi,DCD130968233,Rbt 0x03,-33,0.00957845417604,183,0.0,28.48,54.14,93,0.0,1005.113,58.72,76.89166128,24.94037611,0.0,0.0,0.0,278,1636,0.0,0.0,0.0,0
raspberrypi,DCD130968233,Rbt 0x03,-50,0.266038163731,246,0.0,28.7,53.58,100,0.0,1005.139,61.6,77.1087454,25.0672374468,0.0,0.0,0.0,291,1651,0.0,0.0,0.0,0
